pid,ad_title,ad_type,ad_file,target_age_group,target_gender,target_mood,target_weather,ad_category,media_url,ad_description,tags
MUGEAGGKY7DVDTYA,Snap Circuit Offer for Male Kids,image,MUGEAGGKY7DVDTYA.png,kids,male,happy,sunny,generic ads,,Fun electronic circuit building toy set for boys to learn STEM basics,electronics toy circuit kids learning
NKCECJPC5HBBSFKZ,Urdiva Fashions Crystal Necklace,image,NKCECJPC5HBBSFKZ.jpeg,18-39,male,neutral,sunny,attention grabbing ads,,Elegant crystal necklace perfect for stylish occasions,fashion jewelry necklace women
PBXECWKZHWRCZZPJ,Xpert Schoolboys Blk Lace Up Shoes,image,PBXECWKZHWRCZZPJ.png,10-18,male,happy,sunny,generic ads,,Durable black lace up school shoes for boys,school shoes footwear boys
5D0PMYG5A0CXSTEY,ladies raincoat for teenagers bringing delight in rainy weather,image,5D0PMYG5A0CXSTEY.jpeg,10-18,female,happy,rainy,generic ads,,Waterproof stylish raincoat designed for teenage girls,rain raincoat umbrella teen fashion
29RQ0ILR9YBZZJI8,ladies moisture cream for adults bringing delight in rainy weather,image,29RQ0ILR9YBZZJI8.jpeg,65 plus,female,happy,rainy,generic ads,,Hydrating skin moisture cream for daily skincare routine,skincare beauty cream women
AFGEFM64M3FZ5UYB,Remote control Car,image,AFGEFM64M3FZ5UYB.jpeg,kids,male,neutral,sunny,premium ads,,High speed remote control car toy for kids,toy car racing kids
BDSEJT9UQWHDUBH4,Offer for salwars and lehengas in Ramadan season,image,BDSEJT9UQWHDUBH4.png,18-39,female,neutral,sunny,attention grabbing ads,,Traditional festive salwar and lehenga collection for celebrations,traditional fashion women festive
BELEG68SBMZFFN5Z,Ligans NY Men Formal Black Genuine Leather Belt,image,BELEG68SBMZFFN5Z.jpeg,40-64,male,neutral,sunny,generic ads,,Premium genuine leather formal belt for professional men,belt fashion formal men
IA6OCQWZNOBK6L70,ladies bracelet set,image,IA6OCQWZNOBK6L70.png,10-18,female,angry,rainy,generic ads,,Elegant bracelet set for casual and festive wear,jewelry bracelet fashion women
OLH0K3VV3Z0XMGHW,ladies cozy dress for kids,image,OLH0K3VV3Z0XMGHW.png,kids,female,happy,rainy,generic ads,,Comfortable and cute dress designed for young girls,dress kids fashion girl
NKCEGMUCHG4CKEGB,Gym offer for men's day ,image,NKCEGMUCHG4CKEGB.png,18-39,male,neutral,sunny,premium ads,,Special gym membership discount for men's fitness day,gym fitness workout men
SWIEHF3EF5PZAZUY,Carrel Printed Women's Clothing,image,SWIEHF3EF5PZAZUY.jpeg,18-39,female,neutral,sunny,generic ads,,Stylish printed women's clothing collection,fashion clothing women
WATE9CFHPAEU3G4B,"Jack Klein Goldjack Analog Watch  - For Boys, Men",image,WATE9CFHPAEU3G4B.jpeg,18-39,male,neutral,sunny,premium ads,,Premium analog gold watch for men and boys,watch fashion men accessory
WATE9MVXJXHZHEJU,Hair colour and hair cut offer at some salon,image,WATE9MVXJXHZHEJU.png,18-39,female,neutral,sunny,premium ads,,Professional hair colouring and haircut service package,salon beauty hair women
Z3L50P1DQ32THDU4,Soccer kit for kids,image,Z3L50P1DQ32THDU4.png,kids,male,neutral,cold,generic ads,,Complete soccer jersey and shorts set for young players,football sports kids soccer
YA026,Premium Office Backpack,image,YA026.png,18-39,male,neutral,sunny,generic ads,,Professional laptop backpack,office bag men
YA027,Ladies Fitness Leggings,image,YA027.png,18-39,female,happy,sunny,generic ads,,Comfortable workout leggings,fitness fashion women
YA028,Smart Home LED Lights,image,YA028.png,18-39,male,neutral,sunny,premium ads,,Energy efficient smart LED lighting,home electronics
YA029,Designer Heels Collection,image,YA029.png,18-39,female,happy,sunny,premium ads,,Stylish high heel footwear,heels fashion women
YA030,Professional DSLR Camera,image,YA030.png,18-39,male,happy,sunny,premium ads,,High resolution DSLR camera kit,camera photography
YA031,Organic Face Serum,image,YA031.png,18-39,female,neutral,sunny,generic ads,,Natural glow face serum,beauty skincare women
YA032,Wireless Charging Pad,image,YA032.png,18-39,male,neutral,sunny,generic ads,,Fast wireless phone charger,electronics charger
YA033,Bridal Makeup Package,image,YA033.png,18-39,female,happy,sunny,premium ads,,Complete bridal beauty package,bridal makeup women
ADL021,Men’s Formal Blazer Premium,image,ADL021.png,40-64,male,neutral,sunny,premium ads,,Premium formal blazer jacket,blazer fashion men
ADL022,Cotton Kurti Collection,image,ADL022.png,40-64,female,happy,sunny,generic ads,,Comfortable cotton kurtis,fashion women
ADL023,Home Water Purifier System,image,ADL023.png,40-64,male,neutral,sunny,generic ads,,Advanced water filtration system,home appliance men
ADL024,Premium Handbag Classic,image,ADL024.png,40-64,female,neutral,sunny,premium ads,,Classic leather handbag,fashion women
ADL025,Car Tire Replacement Offer,image,ADL025.png,40-64,male,neutral,sunny,generic ads,,Discount tire replacement service,car automotive
ADL026,Organic Spice Gift Pack,image,ADL026.png,40-64,female,happy,sunny,generic ads,,Premium spice collection,food grocery women
ADL027,Men’s Luxury Perfume,image,ADL027.png,40-64,male,happy,sunny,premium ads,,Long lasting fragrance,perfume fashion men
ADL028,Gold Bangle Collection,image,ADL028.png,40-64,female,happy,sunny,premium ads,,Traditional gold bangles,jewelry women
TNS021,Teen Graphic T-Shirts,image,TNS021.png,10-18,male,happy,sunny,generic ads,,Printed casual t shirts,fashion teen
TNS022,Teen Fashion Sneakers,image,TNS022.png,10-18,female,happy,sunny,generic ads,,Trendy sneakers for girls,sneakers teen
TNS023,Portable Study Table,image,TNS023.png,10-18,male,neutral,sunny,generic ads,,Foldable study desk,study furniture teen
TNS024,Teen Nail Art Kit,image,TNS024.png,10-18,female,happy,sunny,premium ads,,Creative nail art accessories,beauty teen
TNS025,Basketball Shoes Pro,image,TNS025.png,10-18,male,happy,sunny,premium ads,,High grip basketball shoes,sports teen
TNS026,School Exam Guide Books,image,TNS026.png,10-18,female,neutral,sunny,generic ads,,Exam preparation book set,books teen
SR011,Senior Health Supplement Pack,image,SR011.png,65 plus,male,neutral,sunny,generic ads,,Nutritional supplement for seniors,health supplement senior
SR012,Comfort Cotton Nightwear,image,SR012.png,65 plus,female,neutral,sunny,generic ads,,Soft cotton nightwear set,clothing senior
SR013,Senior Friendly Mobile Phone,image,SR013.png,65 plus,male,neutral,sunny,premium ads,,Large button easy phone,mobile senior
SR014,Herbal Joint Pain Relief Oil,image,SR014.png,65 plus,female,neutral,sunny,generic ads,,Natural pain relief oil,health herbal senior
SR015,Senior Pilgrimage Tour Offer,image,SR015.png,65 plus,female,happy,sunny,premium ads,,Religious tour package,travel senior
SR016,Classic Reading Lamp,image,SR016.png,65 plus,male,neutral,sunny,generic ads,,Soft light reading lamp,home decor senior
TNS006,Urban Street Sneakers,image,TNS006.png,10-18,male,happy,sunny,generic ads,,Comfortable street style sneakers for teens,sneakers shoes teen
TNS007,Teen Casual Denim Jacket,image,TNS007.png,10-18,female,happy,sunny,generic ads,,Trendy denim jacket for young girls,jacket fashion teen
TNS008,Gaming Keyboard RGB Edition,image,TNS008.png,10-18,male,neutral,sunny,premium ads,,Mechanical RGB gaming keyboard,gaming keyboard electronics
