pid,ad_title,ad_type,ad_file,target_age_group,target_gender,target_mood,target_weather,ad_category,media_url,ad_description,tags
MUGEAGGKY7DVDTYA,Snap Circuit Offer for Male Kids,image,MUGEAGGKY7DVDTYA.png,kids,male,happy,sunny,generic ads,/Advertisements/MUGEAGGKY7DVDTYA.png,Fun electronic circuit building toy set for boys to learn STEM basics,electronics toy circuit kids learning
NKCECJPC5HBBSFKZ,Urdiva Fashions Crystal Necklace,image,NKCECJPC5HBBSFKZ.jpeg,18-39,male,neutral,sunny,attention grabbing ads,/Advertisements/NKCECJPC5HBBSFKZ.jpeg,Elegant crystal necklace perfect for stylish occasions,fashion jewelry necklace women
PBXECWKZHWRCZZPJ,Xpert Schoolboys Blk Lace Up Shoes,image,PBXECWKZHWRCZZPJ.png,10-18,male,happy,sunny,generic ads,/Advertisements/PBXECWKZHWRCZZPJ.png,Durable black lace up school shoes for boys,school shoes footwear boys
5D0PMYG5A0CXSTEY,ladies raincoat for teenagers bringing delight in rainy weather,image,5D0PMYG5A0CXSTEY.jpeg,10-18,female,happy,rainy,generic ads,/Advertisements/5D0PMYG5A0CXSTEY.jpeg,Waterproof stylish raincoat designed for teenage girls,rain raincoat umbrella teen fashion
29RQ0ILR9YBZZJI8,ladies moisture cream for adults bringing delight in rainy weather,image,29RQ0ILR9YBZZJI8.jpeg,65 plus,female,happy,rainy,generic ads,/Advertisements/29RQ0ILR9YBZZJI8.jpeg,Hydrating skin moisture cream for daily skincare routine,skincare beauty cream women
AFGEFM64M3FZ5UYB,Remote control Car,image,AFGEFM64M3FZ5UYB.jpeg,kids,male,neutral,sunny,premium ads,/Advertisements/AFGEFM64M3FZ5UYB.jpeg,High speed remote control car toy for kids,toy car racing kids
BDSEJT9UQWHDUBH4,Offer for salwars and lehengas in Ramadan season,image,BDSEJT9UQWHDUBH4.png,18-39,female,neutral,sunny,attention grabbing ads,/Advertisements/BDSEJT9UQWHDUBH4.png,Traditional festive salwar and lehenga collection for celebrations,traditional fashion women festive
BELEG68SBMZFFN5Z,Ligans NY Men Formal Black Genuine Leather Belt,image,BELEG68SBMZFFN5Z.jpeg,40-64,male,neutral,sunny,generic ads,/Advertisements/BELEG68SBMZFFN5Z.jpeg,Premium genuine leather formal belt for professional men,belt fashion formal men
IA6OCQWZNOBK6L70,ladies bracelet set,image,IA6OCQWZNOBK6L70.png,10-18,female,angry,rainy,generic ads,/Advertisements/IA6OCQWZNOBK6L70.png,Elegant bracelet set for casual and festive wear,jewelry bracelet fashion women
OLH0K3VV3Z0XMGHW,ladies cozy dress for kids,image,OLH0K3VV3Z0XMGHW.png,kids,female,happy,rainy,generic ads,/Advertisements/OLH0K3VV3Z0XMGHW.png,Comfortable and cute dress designed for young girls,dress kids fashion girl
